Wavelength	Transit Depth
(meters)	(percent)
3.464466e-07	2.180909e+00
3.467925e-07	2.180784e+00
3.471388e-07	2.180665e+00
3.474854e-07	2.180535e+00
3.478324e-07	2.180411e+00
3.481797e-07	2.180287e+00
3.485274e-07	2.180703e+00
3.488754e-07	2.180041e+00
3.492238e-07	2.179922e+00
3.495725e-07	2.179796e+00
3.499215e-07	2.179674e+00
3.502709e-07	2.179567e+00
3.506207e-07	2.179453e+00
3.509708e-07	2.179322e+00
3.513213e-07	2.179201e+00
3.516721e-07	2.179081e+00
3.520232e-07	2.178959e+00
3.523747e-07	2.178839e+00
3.527266e-07	2.178719e+00
3.530788e-07	2.178602e+00
3.534314e-07	2.178481e+00
3.537843e-07	2.182092e+00
3.541376e-07	2.178246e+00
3.544912e-07	2.178136e+00
3.548451e-07	2.178006e+00
3.551995e-07	2.177912e+00
3.555542e-07	2.177771e+00
3.559092e-07	2.177654e+00
3.562646e-07	2.177537e+00
3.566203e-07	2.236558e+00
3.569764e-07	2.177324e+00
3.573329e-07	2.177189e+00
3.576897e-07	2.177073e+00
3.580468e-07	2.176958e+00
3.584044e-07	2.176844e+00
3.587622e-07	2.176729e+00
3.591205e-07	2.240014e+00
3.594791e-07	2.176501e+00
3.598380e-07	2.176388e+00
3.601973e-07	2.176275e+00
3.605570e-07	2.176396e+00
3.609170e-07	2.176049e+00
3.612774e-07	2.175936e+00
3.616382e-07	2.175865e+00
3.619993e-07	2.175712e+00
3.623608e-07	2.270200e+00
3.627226e-07	2.175490e+00
3.630848e-07	2.175386e+00
3.634473e-07	2.175269e+00
3.638103e-07	2.175159e+00
3.641735e-07	2.177032e+00
3.645372e-07	2.174938e+00
3.649012e-07	2.174829e+00
3.652655e-07	2.174720e+00
3.656303e-07	2.174611e+00
3.659954e-07	2.174503e+00
3.663608e-07	2.174395e+00
3.667267e-07	2.174805e+00
3.670928e-07	2.174180e+00
3.674594e-07	2.174072e+00
3.678263e-07	2.173966e+00
3.681936e-07	2.173859e+00
3.685613e-07	2.173753e+00
3.689293e-07	2.173647e+00
3.692977e-07	2.173569e+00
3.696664e-07	2.173436e+00
3.700356e-07	2.173343e+00
3.704051e-07	2.173226e+00
3.707749e-07	2.173123e+00
3.711452e-07	2.173017e+00
3.715158e-07	2.172915e+00
3.718867e-07	2.172809e+00
3.722581e-07	2.191558e+00
3.726298e-07	2.172604e+00
3.730019e-07	2.172504e+00
3.733743e-07	2.172398e+00
3.737472e-07	2.172296e+00
3.741204e-07	2.172193e+00
3.744939e-07	2.172092e+00
3.748679e-07	2.171991e+00
3.752422e-07	2.171890e+00
3.756169e-07	2.171792e+00
3.759920e-07	2.171689e+00
3.763674e-07	2.171990e+00
3.767432e-07	2.171488e+00
3.771194e-07	2.171390e+00
3.774960e-07	2.171290e+00
3.778729e-07	2.259088e+00
3.782502e-07	2.171093e+00
3.786279e-07	2.171012e+00
3.790060e-07	2.170913e+00
3.793845e-07	2.174755e+00
3.797633e-07	2.170707e+00
3.801425e-07	2.171150e+00
3.805221e-07	2.170508e+00
3.809020e-07	2.170410e+00
3.812824e-07	2.170314e+00
3.816631e-07	2.170219e+00
3.820442e-07	2.200557e+00
3.824257e-07	2.170026e+00
3.828076e-07	2.173185e+00
3.831898e-07	2.169836e+00
3.835724e-07	2.169743e+00
3.839555e-07	2.169646e+00
3.843389e-07	2.169553e+00
3.847226e-07	2.169459e+00
3.851068e-07	2.169365e+00
3.854913e-07	2.172248e+00
3.858763e-07	2.169178e+00
3.862616e-07	2.169089e+00
3.866473e-07	2.169001e+00
3.870333e-07	2.168900e+00
3.874198e-07	2.255802e+00
3.878067e-07	2.168717e+00
3.881939e-07	2.168626e+00
3.885815e-07	2.168541e+00
3.889695e-07	2.168457e+00
3.893579e-07	2.168385e+00
3.897467e-07	2.168299e+00
3.901359e-07	2.168175e+00
3.905255e-07	2.168088e+00
3.909154e-07	2.167996e+00
3.913058e-07	2.171366e+00
3.916965e-07	2.168373e+00
3.920876e-07	2.167731e+00
3.924791e-07	2.167641e+00
3.928711e-07	2.167588e+00
3.932633e-07	2.172879e+00
3.936560e-07	2.167392e+00
3.940491e-07	2.167292e+00
3.944426e-07	2.167204e+00
3.948365e-07	2.167116e+00
3.952307e-07	2.167069e+00
3.956254e-07	2.171406e+00
3.960204e-07	2.166867e+00
3.964159e-07	2.166775e+00
3.968117e-07	2.166701e+00
3.972079e-07	2.166645e+00
3.976045e-07	2.166525e+00
3.980016e-07	2.166443e+00
3.983990e-07	2.166377e+00
3.987968e-07	2.166268e+00
3.991950e-07	2.166186e+00
3.995936e-07	2.166105e+00
3.999926e-07	2.166024e+00
4.003920e-07	2.166013e+00
4.007919e-07	2.166597e+00
4.011921e-07	2.165810e+00
4.015927e-07	2.165836e+00
4.019937e-07	2.165669e+00
4.023951e-07	2.165753e+00
4.027969e-07	2.165543e+00
4.031991e-07	2.165578e+00
4.036017e-07	2.165660e+00
4.040047e-07	2.166688e+00
4.044081e-07	2.359623e+00
4.048119e-07	2.185069e+00
4.052162e-07	2.165730e+00
4.056208e-07	2.165241e+00
4.060258e-07	2.164939e+00
4.064312e-07	2.165396e+00
4.068371e-07	2.164687e+00
4.072433e-07	2.164729e+00
4.076500e-07	2.164503e+00
4.080570e-07	2.164419e+00
4.084645e-07	2.164336e+00
4.088723e-07	2.164353e+00
4.092806e-07	2.164474e+00
4.096893e-07	2.164111e+00
4.100984e-07	2.164021e+00
4.105079e-07	2.164149e+00
4.109178e-07	2.163888e+00
4.113281e-07	2.163789e+00
4.117388e-07	2.163711e+00
4.121500e-07	2.163631e+00
4.125615e-07	2.163587e+00
4.129735e-07	2.163850e+00
4.133859e-07	2.163495e+00
4.137986e-07	2.165121e+00
4.142118e-07	2.163490e+00
4.146254e-07	2.163511e+00
4.150395e-07	2.163312e+00
4.154539e-07	2.163317e+00
4.158687e-07	2.163017e+00
4.162840e-07	2.162925e+00
4.166997e-07	2.162851e+00
4.171158e-07	2.162991e+00
4.175323e-07	2.162738e+00
4.179492e-07	2.162602e+00
4.183665e-07	2.162522e+00
4.187843e-07	2.165993e+00
4.192024e-07	2.162517e+00
4.196210e-07	2.165708e+00
4.200400e-07	2.162412e+00
4.204595e-07	2.162181e+00
4.208793e-07	2.162856e+00
4.212996e-07	2.187406e+00
4.217203e-07	2.162014e+00
4.221414e-07	2.162247e+00
4.225629e-07	2.161902e+00
4.229848e-07	2.161764e+00
4.234072e-07	2.162298e+00
4.238300e-07	2.161713e+00
4.242532e-07	2.161534e+00
4.246768e-07	2.161462e+00
4.251009e-07	2.161430e+00
4.255254e-07	2.161348e+00
4.259503e-07	2.161357e+00
4.263756e-07	2.161445e+00
4.268013e-07	2.161195e+00
4.272275e-07	2.161212e+00
4.276541e-07	2.161192e+00
4.280812e-07	2.164032e+00
4.285086e-07	2.162674e+00
4.289365e-07	2.160805e+00
4.293648e-07	2.162156e+00
4.297935e-07	2.161046e+00
4.302227e-07	2.160640e+00
4.306523e-07	2.160848e+00
4.310823e-07	2.161154e+00
4.315128e-07	2.161383e+00
4.319436e-07	2.161973e+00
4.323750e-07	2.160412e+00
4.328067e-07	2.196267e+00
4.332389e-07	2.160594e+00
4.336715e-07	2.160181e+00
4.341045e-07	2.160592e+00
4.345380e-07	2.160071e+00
4.349719e-07	2.160010e+00
4.354062e-07	2.160232e+00
4.358410e-07	2.161363e+00
4.362762e-07	2.159953e+00
4.367118e-07	2.160124e+00
4.371479e-07	2.159992e+00
4.375844e-07	2.159692e+00
4.380214e-07	2.159739e+00
4.384587e-07	2.159390e+00
4.388966e-07	2.162158e+00
4.393348e-07	2.159339e+00
4.397735e-07	2.159312e+00
4.402126e-07	2.159218e+00
4.406522e-07	2.159155e+00
4.410922e-07	2.159015e+00
4.415327e-07	2.158961e+00
4.419735e-07	2.159076e+00
4.424149e-07	2.158867e+00
4.428566e-07	2.168721e+00
4.432988e-07	2.222748e+00
4.437415e-07	2.164117e+00
4.441846e-07	2.159217e+00
4.446281e-07	2.158624e+00
4.450721e-07	2.160023e+00
4.455165e-07	2.158411e+00
4.459614e-07	2.161718e+00
4.464067e-07	2.158308e+00
4.468525e-07	2.159690e+00
4.472987e-07	2.163730e+00
4.477453e-07	2.186907e+00
4.481924e-07	2.158155e+00
4.486399e-07	2.168434e+00
4.490879e-07	2.158077e+00
4.495363e-07	2.157956e+00
4.499852e-07	2.163190e+00
4.504345e-07	2.168212e+00
4.508843e-07	2.159207e+00
4.513345e-07	2.158722e+00
4.517852e-07	2.159549e+00
4.522363e-07	2.167970e+00
4.526879e-07	2.157725e+00
4.531399e-07	2.164854e+00
4.535924e-07	2.157605e+00
4.540453e-07	2.157513e+00
4.544987e-07	2.157296e+00
4.549526e-07	2.163366e+00
4.554068e-07	2.157258e+00
4.558616e-07	2.157261e+00
4.563168e-07	2.157065e+00
4.567724e-07	2.157271e+00
4.572285e-07	2.157011e+00
4.576851e-07	2.156998e+00
4.581421e-07	2.157072e+00
4.585996e-07	2.314045e+00
4.590575e-07	2.156995e+00
4.595159e-07	2.167874e+00
4.599747e-07	2.183173e+00
4.604340e-07	2.159015e+00
4.608938e-07	2.156585e+00
4.613540e-07	2.235337e+00
4.618147e-07	2.159269e+00
4.622758e-07	2.161064e+00
4.627374e-07	2.241655e+00
4.631995e-07	2.158439e+00
4.636620e-07	2.158224e+00
4.641250e-07	2.159734e+00
4.645885e-07	2.156430e+00
4.650524e-07	2.164931e+00
4.655167e-07	2.156172e+00
4.659816e-07	2.198538e+00
4.664469e-07	2.155987e+00
4.669126e-07	2.156686e+00
4.673789e-07	2.170984e+00
4.678456e-07	2.156165e+00
4.683127e-07	2.157376e+00
4.687803e-07	2.158209e+00
4.692484e-07	2.155846e+00
4.697170e-07	2.155784e+00
4.701860e-07	2.155562e+00
4.706555e-07	2.155661e+00
4.711255e-07	2.156539e+00
4.715959e-07	2.158885e+00
4.720668e-07	2.164012e+00
4.725382e-07	2.155778e+00
4.730101e-07	2.155449e+00
4.734824e-07	2.184204e+00
4.739552e-07	2.159071e+00
4.744284e-07	2.155236e+00
4.749022e-07	2.155184e+00
4.753764e-07	2.155133e+00
4.758511e-07	2.155013e+00
4.763262e-07	2.274052e+00
4.768018e-07	2.212014e+00
4.772779e-07	2.155953e+00
4.777545e-07	2.323605e+00
4.782316e-07	2.187015e+00
4.787091e-07	2.155146e+00
4.791871e-07	2.331323e+00
4.796656e-07	2.155634e+00
4.801446e-07	2.154574e+00
4.806240e-07	2.164117e+00
4.811039e-07	2.161784e+00
4.815843e-07	2.170415e+00
4.820652e-07	2.154523e+00
4.825466e-07	2.170123e+00
4.830284e-07	2.155444e+00
4.835107e-07	2.160324e+00
4.839935e-07	2.179249e+00
4.844768e-07	2.154161e+00
4.849606e-07	2.161144e+00
4.854448e-07	2.155057e+00
4.859296e-07	2.156780e+00
4.864148e-07	2.163631e+00
4.869005e-07	2.170003e+00
4.873867e-07	2.154086e+00
4.878734e-07	2.154874e+00
4.883605e-07	2.154107e+00
4.888482e-07	2.153790e+00
4.893363e-07	2.153742e+00
4.898249e-07	2.154173e+00
4.903140e-07	2.153949e+00
4.908036e-07	2.153591e+00
4.912937e-07	2.153741e+00
4.917843e-07	2.154602e+00
4.922754e-07	2.153469e+00
4.927669e-07	2.153533e+00
4.932590e-07	2.153383e+00
4.937515e-07	2.153703e+00
4.942445e-07	2.153531e+00
4.947380e-07	2.154281e+00
4.952321e-07	2.153225e+00
4.957266e-07	2.249007e+00
4.962216e-07	2.224689e+00
4.967171e-07	2.207366e+00
4.972131e-07	2.155108e+00
4.977095e-07	2.153611e+00
4.982065e-07	2.177276e+00
4.987040e-07	2.155966e+00
4.992020e-07	2.153360e+00
4.997004e-07	2.153059e+00
5.001994e-07	2.154975e+00
5.006989e-07	2.244652e+00
5.011988e-07	2.214334e+00
5.016993e-07	2.152891e+00
5.022003e-07	2.236969e+00
5.027017e-07	2.152828e+00
5.032037e-07	2.156717e+00
5.037062e-07	2.161836e+00
5.042091e-07	2.157831e+00
5.047126e-07	2.155880e+00
5.052166e-07	2.156044e+00
5.057211e-07	2.157167e+00
5.062261e-07	2.167793e+00
5.067315e-07	2.152869e+00
5.072375e-07	2.152429e+00
5.077440e-07	2.152322e+00
5.082510e-07	2.152410e+00
5.087585e-07	2.152360e+00
5.092665e-07	2.156914e+00
5.097751e-07	2.152380e+00
5.102841e-07	2.152294e+00
5.107936e-07	2.152957e+00
5.113037e-07	2.286056e+00
5.118142e-07	2.152306e+00
5.123253e-07	2.152005e+00
5.128369e-07	2.152073e+00
5.133490e-07	2.152124e+00
5.138616e-07	2.152114e+00
5.143747e-07	2.169088e+00
5.148883e-07	2.151917e+00
5.154024e-07	2.151943e+00
5.159171e-07	2.152059e+00
5.164322e-07	2.152844e+00
5.169479e-07	2.284525e+00
5.174641e-07	2.249479e+00
5.179808e-07	2.245121e+00
5.184980e-07	2.153620e+00
5.190158e-07	2.152446e+00
5.195340e-07	2.153037e+00
5.200528e-07	2.152894e+00
5.205721e-07	2.259656e+00
5.210919e-07	2.180134e+00
5.216122e-07	2.153228e+00
5.221331e-07	2.153371e+00
5.226545e-07	2.155765e+00
5.231763e-07	2.165597e+00
5.236988e-07	2.163548e+00
5.242217e-07	2.235441e+00
5.247451e-07	2.151946e+00
5.252691e-07	2.151275e+00
5.257936e-07	2.151094e+00
5.263187e-07	2.151634e+00
5.268442e-07	2.151395e+00
5.273703e-07	2.156562e+00
5.278969e-07	2.151519e+00
5.284240e-07	2.151359e+00
5.289516e-07	2.156305e+00
5.294798e-07	2.155144e+00
5.300085e-07	2.151136e+00
5.305378e-07	2.151066e+00
5.310675e-07	2.151234e+00
5.315978e-07	2.159155e+00
5.321286e-07	2.150955e+00
5.326600e-07	2.153241e+00
5.331919e-07	2.156497e+00
5.337243e-07	2.153696e+00
5.342572e-07	2.152285e+00
5.347907e-07	2.151726e+00
5.353247e-07	2.153792e+00
5.358592e-07	2.152038e+00
5.363943e-07	2.152990e+00
5.369299e-07	2.152147e+00
5.374661e-07	2.152686e+00
5.380028e-07	2.155854e+00
5.385400e-07	2.154985e+00
5.390777e-07	2.151264e+00
5.396160e-07	2.151609e+00
5.401548e-07	2.151069e+00
5.406942e-07	2.150870e+00
5.412341e-07	2.150662e+00
5.417745e-07	2.150936e+00
5.423155e-07	2.150776e+00
5.428571e-07	2.151190e+00
5.433991e-07	2.151813e+00
5.439417e-07	2.150836e+00
5.444849e-07	2.151176e+00
5.450286e-07	2.185581e+00
5.455728e-07	2.157682e+00
5.461176e-07	2.184341e+00
5.466629e-07	2.156086e+00
5.472087e-07	2.157239e+00
5.477552e-07	2.161063e+00
5.483021e-07	2.163709e+00
5.488496e-07	2.248086e+00
5.493977e-07	2.161391e+00
5.499462e-07	2.151751e+00
5.504954e-07	2.152007e+00
5.510451e-07	2.182790e+00
5.515953e-07	2.150776e+00
5.521461e-07	2.150522e+00
5.526974e-07	2.154240e+00
5.532493e-07	2.150104e+00
5.538018e-07	2.150252e+00
5.543548e-07	2.151495e+00
5.549083e-07	2.151050e+00
5.554624e-07	2.152520e+00
5.560171e-07	2.151498e+00
5.565723e-07	2.245935e+00
5.571280e-07	2.168071e+00
5.576843e-07	2.157687e+00
5.582412e-07	2.154139e+00
5.587986e-07	2.151297e+00
5.593566e-07	2.153079e+00
5.599151e-07	2.152117e+00
5.604742e-07	2.171825e+00
5.610339e-07	2.155528e+00
5.615941e-07	2.175042e+00
5.621549e-07	2.166194e+00
5.627162e-07	2.161874e+00
5.632781e-07	2.154215e+00
5.638406e-07	2.164632e+00
5.644036e-07	2.153937e+00
5.649671e-07	2.156458e+00
5.655313e-07	2.159120e+00
5.660960e-07	2.155103e+00
5.666613e-07	2.157645e+00
5.672271e-07	2.153300e+00
5.677935e-07	2.159472e+00
5.683605e-07	2.158782e+00
5.689280e-07	2.154464e+00
5.694961e-07	2.153563e+00
5.700647e-07	2.153601e+00
5.706340e-07	2.155525e+00
5.712038e-07	2.153334e+00
5.717741e-07	2.154443e+00
5.723451e-07	2.155014e+00
5.729166e-07	2.155171e+00
5.734887e-07	2.155163e+00
5.740613e-07	2.155692e+00
5.746345e-07	2.157552e+00
5.752083e-07	2.156503e+00
5.757827e-07	2.157561e+00
5.763576e-07	2.164996e+00
5.769332e-07	2.236232e+00
5.775092e-07	2.161342e+00
5.780859e-07	2.160805e+00
5.786631e-07	2.161824e+00
5.792410e-07	2.163706e+00
5.798194e-07	2.166126e+00
5.803983e-07	2.167319e+00
5.809779e-07	2.169216e+00
5.815580e-07	2.172076e+00
5.821387e-07	2.175714e+00
5.827200e-07	2.178707e+00
5.833019e-07	2.182115e+00
5.838843e-07	2.191901e+00
5.844673e-07	2.198107e+00
5.850510e-07	2.207979e+00
5.856351e-07	2.213353e+00
5.862199e-07	2.233534e+00
5.868053e-07	2.228444e+00
5.873912e-07	2.239293e+00
5.879778e-07	2.257913e+00
5.885649e-07	2.302886e+00
5.891526e-07	2.494182e+00
5.897409e-07	2.352490e+00
5.903298e-07	2.265021e+00
5.909192e-07	2.263754e+00
5.915093e-07	2.232433e+00
5.920999e-07	2.236541e+00
5.926912e-07	2.247642e+00
5.932830e-07	2.201653e+00
5.938754e-07	2.214692e+00
5.944684e-07	2.192205e+00
5.950620e-07	2.202038e+00
5.956562e-07	2.182488e+00
5.962510e-07	2.177910e+00
5.968464e-07	2.187848e+00
5.974423e-07	2.185114e+00
5.980389e-07	2.169372e+00
5.986361e-07	2.174723e+00
5.992338e-07	2.169774e+00
5.998322e-07	2.168877e+00
6.004311e-07	2.167272e+00
6.010307e-07	2.161243e+00
6.016308e-07	2.158954e+00
6.022316e-07	2.158758e+00
6.028329e-07	2.157807e+00
6.034349e-07	2.158821e+00
6.040374e-07	2.155560e+00
6.046406e-07	2.160432e+00
6.052444e-07	2.156196e+00
6.058487e-07	2.153550e+00
6.064537e-07	2.153134e+00
6.070592e-07	2.153598e+00
6.076654e-07	2.153199e+00
6.082722e-07	2.152460e+00
6.088796e-07	2.160010e+00
6.094876e-07	2.156190e+00
6.100962e-07	2.151029e+00
6.107054e-07	2.150649e+00
6.113152e-07	2.159609e+00
6.119256e-07	2.150219e+00
6.125366e-07	2.150240e+00
6.131483e-07	2.149898e+00
6.137605e-07	2.151362e+00
6.143734e-07	2.152390e+00
6.149869e-07	2.163507e+00
6.156009e-07	2.153478e+00
6.162156e-07	2.160650e+00
6.168310e-07	2.161498e+00
6.174469e-07	2.152713e+00
6.180634e-07	2.242394e+00
6.186806e-07	2.170148e+00
6.192984e-07	2.209855e+00
6.199168e-07	2.224700e+00
6.205358e-07	2.179772e+00
6.211554e-07	2.200210e+00
6.217756e-07	2.294908e+00
6.223965e-07	2.160631e+00
6.230180e-07	2.178774e+00
6.236401e-07	2.212365e+00
6.242628e-07	2.158102e+00
6.248862e-07	2.208889e+00
6.255101e-07	2.172233e+00
6.261347e-07	2.202222e+00
6.267600e-07	2.150782e+00
6.273858e-07	2.149142e+00
6.280123e-07	2.157466e+00
6.286394e-07	2.154633e+00
6.292671e-07	2.155743e+00
6.298954e-07	2.154989e+00
6.305244e-07	2.150265e+00
6.311540e-07	2.149017e+00
6.317842e-07	2.148133e+00
6.324151e-07	2.271702e+00
6.330466e-07	2.149465e+00
6.336787e-07	2.150057e+00
6.343115e-07	2.154373e+00
6.349448e-07	2.161300e+00
6.355789e-07	2.166404e+00
6.362135e-07	2.157877e+00
6.368488e-07	2.156264e+00
6.374847e-07	2.178556e+00
6.381213e-07	2.162901e+00
6.387584e-07	2.153074e+00
6.393963e-07	2.154181e+00
6.400347e-07	2.147722e+00
6.406738e-07	2.147618e+00
6.413136e-07	2.147692e+00
6.419539e-07	2.186962e+00
6.425950e-07	2.167759e+00
6.432366e-07	2.148493e+00
6.438789e-07	2.147050e+00
6.445218e-07	2.152375e+00
6.451654e-07	2.155516e+00
6.458096e-07	2.159565e+00
6.464545e-07	2.146609e+00
6.471000e-07	2.146514e+00
6.477462e-07	2.147853e+00
6.483930e-07	2.148000e+00
6.490404e-07	2.148427e+00
6.496885e-07	2.146508e+00
6.503372e-07	2.147579e+00
6.509866e-07	2.146570e+00
6.516367e-07	2.148275e+00
6.522873e-07	2.146898e+00
6.529387e-07	2.147122e+00
6.535907e-07	2.146433e+00
6.542433e-07	2.146822e+00
6.548966e-07	2.146389e+00
6.555505e-07	2.158817e+00
6.562051e-07	2.147866e+00
6.568604e-07	2.168263e+00
6.575163e-07	2.147921e+00
6.581728e-07	2.150534e+00
6.588300e-07	2.156482e+00
6.594879e-07	2.149892e+00
6.601464e-07	2.154992e+00
6.608056e-07	2.151771e+00
6.614654e-07	2.152659e+00
6.621259e-07	2.148036e+00
6.627871e-07	2.173607e+00
6.634489e-07	2.150190e+00
6.641114e-07	2.149201e+00
6.647745e-07	2.157738e+00
6.654383e-07	2.154163e+00
6.661028e-07	2.155996e+00
6.667679e-07	2.147461e+00
6.674337e-07	2.189964e+00
6.681002e-07	2.152152e+00
6.687673e-07	2.341098e+00
6.694351e-07	2.147332e+00
6.701035e-07	2.147080e+00
6.707727e-07	2.146565e+00
6.714424e-07	2.151065e+00
6.721129e-07	2.151940e+00
6.727840e-07	2.306848e+00
6.734558e-07	2.197232e+00
6.741283e-07	2.170102e+00
6.748015e-07	2.174396e+00
6.754753e-07	2.198089e+00
6.761498e-07	2.298401e+00
6.768249e-07	2.173104e+00
6.775007e-07	2.145964e+00
6.781773e-07	2.151392e+00
6.788544e-07	2.147196e+00
6.795323e-07	2.146920e+00
6.802108e-07	2.149296e+00
6.808901e-07	2.154249e+00
6.815700e-07	2.146495e+00
6.822505e-07	2.146956e+00
6.829318e-07	2.145937e+00
6.836137e-07	2.146479e+00
6.842963e-07	2.147542e+00
6.849796e-07	2.146230e+00
6.856636e-07	2.152872e+00
6.863483e-07	2.198101e+00
6.870336e-07	2.146707e+00
6.877196e-07	2.149575e+00
6.884063e-07	2.147010e+00
6.890937e-07	2.145924e+00
6.897818e-07	2.147497e+00
6.904706e-07	2.145904e+00
6.911601e-07	2.145998e+00
6.918502e-07	2.145717e+00
6.925410e-07	2.146191e+00
6.932326e-07	2.145680e+00
6.939248e-07	2.149012e+00
6.946177e-07	2.145975e+00
6.953113e-07	2.146348e+00
6.960056e-07	2.145809e+00
6.967006e-07	2.147041e+00
6.973963e-07	2.145572e+00
6.980926e-07	2.145830e+00
6.987897e-07	2.151379e+00
6.994875e-07	2.145942e+00
7.001859e-07	2.145447e+00
7.008851e-07	2.145590e+00
7.015850e-07	2.146078e+00
7.022855e-07	2.169557e+00
7.029868e-07	2.148137e+00
7.036887e-07	2.145564e+00
7.043914e-07	2.147449e+00
7.050948e-07	2.148575e+00
7.057988e-07	2.151691e+00
7.065036e-07	2.283015e+00
7.072091e-07	2.218053e+00
7.079152e-07	2.145560e+00
7.086221e-07	2.150802e+00
7.093297e-07	2.273783e+00
7.100380e-07	2.184882e+00
7.107470e-07	2.253967e+00
7.114567e-07	2.146711e+00
7.121671e-07	2.145715e+00
7.128782e-07	2.235914e+00
7.135901e-07	2.223679e+00
